,name,track_id,album,artist,artist_id,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,playlist
0,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,SOS,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-12-08,153946,83,94,"['pop', 'r&b']",0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,8,1,4,Today's Top Hits
1,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,Midnights,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2022-10-21,200690,97,100,['pop'],0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,4,1,4,Today's Top Hits
2,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,2wY79sveU1sp5g7SokKOiI,2022-09-22,156943,100,89,"['dance pop', 'pop', 'uk pop']",0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,0.238,2,1,4,Today's Top Hits
3,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,221520,93,91,['rap'],0.417,0.715,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,1,0,4,Today's Top Hits
4,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,46pWGuE3dSwY3bMMXGBvVS,2022-08-25,239317,94,81,['nigerian pop'],0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,106.999,0.802,11,1,4,Today's Top Hits
5,Made You Look,0QHEIqNKsMoOY5urbzN48u,Takin' It Back,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,2022-10-21,134256,95,85,"['dance pop', 'hip pop', 'pop']",0.345,0.838,0.525,1.92e-06,0.0771,-3.562,0.0665,144.981,0.884,10,1,4,Today's Top Hits
6,As It Was,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2022-03-31,167303,93,90,['pop'],0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,6,0,4,Today's Top Hits
7,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,RENAISSANCE,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2022-07-29,225388,93,87,"['dance pop', 'pop', 'r&b']",0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,0.642,7,1,4,Today's Top Hits
8,La Jumpa,2mnXxnrX5vCGolNkaFvVeM,SR. SANTOS,Arcángel,4SsVbpTthjScTS7U2hmr1X,2022-12-01,255693,84,86,"['latin hip hop', 'reggaeton', 'urbano latino']",0.111,0.887,0.234,0.67,0.13,-14.52,0.178,140.02,0.197,9,1,4,Today's Top Hits
9,Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,SOS,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-12-09,180853,90,94,"['pop', 'r&b']",0.805,0.358,0.284,0.0,0.183,-8.285,0.0285,99.796,0.276,7,1,3,Today's Top Hits
10,golden hour,5odlY52u43F5BjByhxg7wg,this is what ____ feels like (Vol. 1-4),JVKE,164Uj4eKjl6zTBKfJLFKKK,2022-09-23,209259,90,80,['modern indie pop'],0.653,0.515,0.593,0.162,0.25,-4.801,0.0322,94.467,0.153,4,1,3,Today's Top Hits
11,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2022-08-26,175238,97,89,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304,7,0,4,Today's Top Hits
12,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,Her Loss,Drake,3TVXtAsR1Inumwj472S9r4,2022-11-04,239359,96,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,153.15,0.424,11,0,3,Today's Top Hits
13,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,Twelve Carat Toothache,Post Malone,246dkjvS1zLTtiykXe5h60,2022-06-03,192840,89,89,"['dfw rap', 'melodic rap', 'rap']",0.121,0.733,0.67,0.0,0.121,-6.009,0.0751,100.964,0.472,5,1,4,Today's Top Hits
14,DESPECHÁ RMX,4CD623yLJVvKJxUyzaTqtC,DESPECHÁ RMX,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,2022-12-16,170827,76,85,['r&b en espanol'],0.235,0.954,0.582,1.26e-06,0.0572,-5.744,0.0727,130.008,0.884,9,0,4,Today's Top Hits
15,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism. / The Thrill Is Gone.,RAYE,5KKpBU5eC2tJDzf0wmlRp2,2022-10-12,272373,89,78,"['dance pop', 'pop', 'uk contemporary r&b', 'uk pop']",0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,0.25,2,1,4,Today's Top Hits
16,Nothing Is Lost (You Give Me Strength),1DzJbVkBELu6jDu6q0T0tk,Avatar: The Way of Water (Original Motion Picture Soundtrack),Simon Franglen,12WCXE6DlRcCn2rEShNepL,2022-12-15,267504,77,96,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.0002,0.52,0.693,2.2e-05,0.122,-7.704,0.0331,126.985,0.12,5,1,4,Today's Top Hits
17,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,Midnights,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2022-10-21,202395,90,100,['pop'],0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,10,1,4,Today's Top Hits
18,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,Harry's House,Harry Styles,6KImCVD70vtIoJWnq6nGn3,2022-05-20,177954,90,90,['pop'],0.298,0.714,0.728,0.0,0.106,-4.595,0.0468,114.996,0.901,10,1,4,Today's Top Hits
19,Miss You,73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,2022-08-05,206000,94,83,['alternative hip hop'],0.0128,0.587,0.742,0.00107,0.146,-6.64,0.0529,145.007,0.199,6,0,4,Today's Top Hits
20,LET GO,3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,5H4yInM5zmHqpKIoMNAx4r,2022-12-15,174246,86,82,['melodic drill'],0.859,0.735,0.449,0.0,0.213,-9.933,0.383,146.016,0.514,2,0,4,Today's Top Hits
21,Shirt,34ZAzO78a5DAVNrYIGWcPm,Shirt,SZA,7tYKF4w9nC0nq9CsPZTHyP,2022-10-28,181830,89,94,"['pop', 'r&b']",0.146,0.824,0.453,0.0273,0.0896,-9.604,0.0968,119.959,0.552,3,0,4,Today's Top Hits
22,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,Un Verano Sin Ti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,2022-05-06,243716,95,99,"['reggaeton', 'trap latino', 'urbano latino']",0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,0.187,5,0,4,Today's Top Hits
23,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2022-05-13,148485,95,85,"['piano rock', 'pop']",0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,139.994,0.825,0,1,4,Today's Top Hits
24,STAR WALKIN' (League of Legends Worlds Anthem),38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,2022-09-22,210575,90,83,"['lgbtq+ hip hop', 'pop']",0.148,0.637,0.715,0.0,0.0892,-4.971,0.0455,141.872,0.308,2,0,4,Today's Top Hits
