,name,album,artist,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature
0,Green Juice (feat. Pharrell Williams),Green Juice (feat. Pharrell Williams),A$AP Ferg,2021-10-28,174136,49,72,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",0.272,0.639,0.599,1.32e-05,0.179,-3.925,0.0376,120.061,0.138,0,1,4
1,Move The Chains,Move The Chains,Beau Young Prince,2019-07-24,112826,38,43,['dmv rap'],0.0147,0.801,0.941,0.0,0.65,-4.204,0.206,104.488,0.759,0,1,4
2,Obsessed With You,Obsessed With You,Central Cee,2021-09-10,108650,72,81,['melodic drill'],0.192,0.746,0.825,0.0,0.365,-4.457,0.0435,143.062,0.904,3,1,4
3,Mr. Put It On,Mr. Put It On,AG Club,2022-01-21,167323,45,51,"['indie hip hop', 'indie r&b', 'rap', 'underground hip hop']",0.101,0.753,0.735,0.0,0.357,-6.687,0.391,141.982,0.714,2,1,4
4,hibachi (feat. Kodak Black & 21 Savage),LIVE LIFE FAST,Roddy Ricch,2021-12-17,170413,66,81,"['melodic rap', 'rap', 'trap']",0.0191,0.681,0.522,0.0,0.415,-8.74,0.303,172.946,0.219,5,0,4
5,BILLI (feat. Future),GHETTO GODS,EARTHGANG,2022-02-25,163802,50,66,"['atl hip hop', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']",0.0393,0.844,0.5,0.0,0.109,-7.271,0.386,155.048,0.302,1,1,4
6,Scared Money (feat. J. Cole and Moneybagg Yo),Scared Money,YG,2022-02-04,204285,65,76,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0101,0.898,0.58,0.0,0.169,-7.632,0.26,84.018,0.661,8,0,4
7,Money In The Way,Rap Or Go To The League,2 Chainz,2019-03-01,161653,47,76,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.238,0.79,0.793,2.14e-06,0.305,-4.138,0.2,85.006,0.584,7,1,4
8,Cash In Cash Out,Cash In Cash Out,Pharrell Williams,2022-06-10,216135,78,81,"['hip hop', 'pop', 'pop rap']",0.00721,0.877,0.56,1.45e-06,0.0839,-3.751,0.0596,119.971,0.154,7,1,4
9,Neck & Wrist (feat. JAY-Z & Pharrell Williams),It's Almost Dry,Pusha T,2022-04-22,209314,61,73,"['alternative hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']",0.0223,0.625,0.542,0.0,0.377,-4.365,0.266,152.403,0.328,9,1,4
10,Heaven and Hell,Donda,Kanye West,2021-08-29,145301,64,91,"['chicago rap', 'rap']",0.0409,0.764,0.422,0.0,0.152,-7.265,0.119,82.986,0.268,0,0,4
11,Savior,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,224466,16,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.495,0.605,0.692,0.0,0.303,-7.45,0.446,124.84,0.685,8,1,5
12,"Blood All On it (feat. Key Glock, Young Dolph)","Blood All On it (feat. Key Glock, Young Dolph)",Gucci Mane,2022-04-01,234869,56,78,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0277,0.858,0.7,0.0,0.109,-4.677,0.258,140.08,0.825,7,1,4
13,Disrespectful (feat. ScHoolboy Q),"Thank you, God. For it all.",Childish Major,2021-07-23,204093,30,46,"['trap soul', 'underground hip hop']",0.0533,0.907,0.551,0.0,0.117,-8.314,0.493,145.027,0.711,5,0,4
14,Elon Musk (feat. Gunna),Elon Musk (feat. Gunna),DDG,2022-02-18,205758,64,67,"['pop rap', 'rap', 'trap', 'viral rap']",0.441,0.826,0.583,0.0,0.155,-5.186,0.0626,140.039,0.539,2,0,4
15,Dough,Yellow Tape,Key Glock,2020-01-31,198866,63,75,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.00166,0.876,0.463,0.000492,0.109,-6.607,0.289,162.951,0.32,1,1,4
16,BANKROLL (feat. A$AP Rocky & A$AP Ferg),"ROADRUNNER: NEW LIGHT, NEW MACHINE",BROCKHAMPTON,2021-04-09,202560,56,73,"['boy band', 'hip hop', 'rap']",0.0818,0.784,0.539,0.0,0.106,-8.938,0.274,149.059,0.576,7,0,4
17,Money and the Power,My Own Lane (Expanded Edition),Kid Ink,2014-01-06,207133,54,68,"['dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0281,0.562,0.682,4.5e-05,0.125,-5.883,0.0898,174.071,0.385,0,1,4
18,Arya (feat. A$AP Rocky),Arya,Nigo,2022-01-28,162253,60,82,"['east coast hip hop', 'hip hop', 'rap']",0.0823,0.958,0.478,0.0,0.126,-7.669,0.192,120.042,0.379,7,1,4
19,Ye Not Crazy,Ye Not Crazy,Joyner Lucas,2022-04-01,226758,41,71,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",0.144,0.862,0.547,0.0,0.0691,-9.557,0.333,145.191,0.645,8,1,4
20,This Is America,This Is America,Childish Gambino,2018-05-06,225773,70,79,"['atl hip hop', 'hip hop', 'rap']",0.117,0.854,0.463,0.0,0.354,-6.159,0.137,120.024,0.549,5,1,4
21,Scatter Brain (feat. Ludacris & JID),La Maquina,Conway the Machine,2021-04-16,209117,64,60,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'hip hop', 'underground hip hop', 'upstate ny rap']",0.0684,0.855,0.478,0.0,0.111,-8.698,0.107,135.987,0.355,1,1,4
22,Sharing Locations (feat. Lil Baby & Lil Durk),Expensive Pain,Meek Mill,2021-10-01,161052,65,76,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.00383,0.681,0.63,0.0,0.139,-5.585,0.0385,151.951,0.183,1,1,4
23,Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,220779,18,89,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.438,0.907,0.577,3.19e-05,0.137,-6.737,0.0767,140.07,0.801,1,0,4
24,I Be,Yellow Tape 2 (Deluxe),Key Glock,2022-03-25,193480,65,75,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.00813,0.905,0.724,0.0,0.329,-6.255,0.237,136.982,0.361,0,1,4
25,WIN,Redemption,Jay Rock,2018-06-15,215226,64,72,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",0.0152,0.879,0.595,0.0,0.391,-2.936,0.0889,125.994,0.355,1,1,4
26,Check,Barter 6,Young Thug,2015-04-16,230693,64,85,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",0.0428,0.667,0.581,0.0,0.183,-5.164,0.323,110.953,0.368,0,0,4
27,FLIP THE SWITCH (feat. Drake),QUAVO HUNCHO,Quavo,2018-10-12,156195,67,81,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap']",0.129,0.853,0.637,0.0,0.267,-5.924,0.331,86.048,0.496,3,0,4
28,Nail Tech,Nail Tech,Jack Harlow,2022-02-18,206385,73,82,"['deep underground hip hop', 'kentucky hip hop', 'rap']",0.00508,0.677,0.557,8.36e-06,0.0984,-8.409,0.0694,150.127,0.1,1,1,4
29,Dreams Unfold,Dreams Unfold,Joyner Lucas,2021-08-25,201081,62,71,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",0.36,0.869,0.62,0.0,0.103,-5.308,0.191,148.041,0.961,9,1,4
30,Rambo,Rambo,Joyner Lucas,2021-12-03,211653,54,71,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",0.282,0.798,0.482,2.06e-06,0.127,-9.045,0.43,95.263,0.45,6,0,3
31,SUVs (Black on Black),SUVs (Black on Black),Jack Harlow,2021-08-03,157675,69,82,"['deep underground hip hop', 'kentucky hip hop', 'rap']",0.144,0.801,0.688,0.0,0.107,-4.594,0.396,162.928,0.5,1,1,4
32,ICE (We Should Do Drugs),EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),Labrinth,2022-04-22,165978,52,79,"['indie poptimism', 'pop']",0.0653,0.852,0.35,0.812,0.1,-9.361,0.101,123.009,0.447,9,0,4
33,"Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)",I Know NIGO!,Nigo,2022-03-25,174862,63,82,"['east coast hip hop', 'hip hop', 'rap']",0.0185,0.458,0.697,0.0,0.784,-5.02,0.325,172.584,0.495,1,1,4
34,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,84,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,0.153,5,0,4
35,Surround Sound (feat. 21 Savage & Baby Tate),Surround Sound (feat. 21 Savage & Baby Tate),JID,2022-01-14,229938,53,79,"['hip hop', 'rap']",0.156,0.57,0.573,0.0,0.256,-6.935,0.476,76.006,0.517,5,1,4
36,Cashin' Out,Cashin' Out,Ca$h Out,2012-03-26,238760,59,46,"['atl hip hop', 'deep southern trap', 'dirty south rap', 'futuristic swag', 'pop rap', 'southern hip hop', 'trap']",0.149,0.831,0.665,0.0,0.0636,-3.627,0.0711,129.989,0.663,1,0,4
37,Solid (feat. Drake),Slime Language 2,Young Stoner Life,2021-04-16,215693,74,65,"['hip hop', 'rap', 'southern hip hop', 'trap']",0.0392,0.887,0.485,0.0,0.141,-9.358,0.2,125.987,0.328,11,0,4
38,Let's Get It (Remix) [feat. 21 Savage],Street Poetry,Hunxho,2022-03-04,156995,59,49,[],0.0758,0.863,0.499,0.0,0.104,-8.602,0.514,80.073,0.76,7,0,4
